time,numerical_0,numerical_1,exact_0,exact_1
3.25000000,0.97658763,-0.43023996,0.97658763,-0.43023998
3.26000000,0.97209020,-0.46921481,0.97209020,-0.46921483
3.27000000,0.96720396,-0.50800199,0.96720395,-0.50800201
3.28000000,0.96193084,-0.54658597,0.96193084,-0.54658599
3.29000000,0.95627297,-0.58495133,0.95627296,-0.58495134
3.30000000,0.95023259,-0.62308271,0.95023259,-0.62308273
3.31000000,0.94381214,-0.66096487,0.94381214,-0.66096488
3.32000000,0.93701418,-0.69858265,0.93701418,-0.69858266
3.33000000,0.92984142,-0.73592100,0.92984142,-0.73592102
3.34000000,0.92229674,-0.77296500,0.92229674,-0.77296502
3.35000000,0.91438315,-0.80969982,0.91438315,-0.80969984
3.36000000,0.90610382,-0.84611078,0.90610382,-0.84611079
3.37000000,0.89746206,-0.88218330,0.89746206,-0.88218331
3.38000000,0.88846133,-0.91790296,0.88846133,-0.91790297
3.39000000,0.87910523,-0.95325547,0.87910522,-0.95325548
3.40000000,0.86939749,-0.98822669,0.86939749,-0.98822670
3.41000000,0.85934201,-1.02280263,0.85934201,-1.02280264
3.42000000,0.84894281,-1.05696946,0.84894280,-1.05696948
3.43000000,0.83820403,-1.09071353,0.83820403,-1.09071354
3.44000000,0.82712999,-1.12402132,0.82712998,-1.12402133
3.45000000,0.81572511,-1.15687951,0.81572510,-1.15687953
3.46000000,0.80399394,-1.18927497,0.80399394,-1.18927499
3.47000000,0.79194119,-1.22119474,0.79194119,-1.22119476
3.48000000,0.77957168,-1.25262605,0.77957167,-1.25262606
3.49000000,0.76689034,-1.28355632,0.76689033,-1.28355633
3.50000000,0.75390226,-1.31397318,0.75390225,-1.31397320
3.51000000,0.74061263,-1.34386448,0.74061262,-1.34386449
3.52000000,0.72702676,-1.37321824,0.72702676,-1.37321826
3.53000000,0.71315010,-1.40202274,0.71315009,-1.40202275
3.54000000,0.69898818,-1.43026645,0.69898817,-1.43026646
3.55000000,0.68454667,-1.45793807,0.68454667,-1.45793808
3.56000000,0.66983136,-1.48502653,0.66983135,-1.48502654
3.57000000,0.65484812,-1.51152100,0.65484812,-1.51152102
3.58000000,0.63960296,-1.53741089,0.63960295,-1.53741090
3.59000000,0.62410195,-1.56268583,0.62410195,-1.56268584
3.60000000,0.60835132,-1.58733572,0.60835131,-1.58733573
3.61000000,0.59235736,-1.61135069,0.59235735,-1.61135070
3.62000000,0.57612646,-1.63472115,0.57612645,-1.63472116
3.63000000,0.55966511,-1.65743773,0.55966511,-1.65743774
3.64000000,0.54297991,-1.67949137,0.54297990,-1.67949138
3.65000000,0.52607753,-1.70087323,0.52607752,-1.70087324
3.66000000,0.50896472,-1.72157477,0.50896471,-1.72157478
3.67000000,0.49164833,-1.74158769,0.49164832,-1.74158770
3.68000000,0.47413528,-1.76090401,0.47413527,-1.76090402
3.69000000,0.45643259,-1.77951599,0.45643258,-1.77951600
3.70000000,0.43854734,-1.79741618,0.43854733,-1.79741619
3.71000000,0.42048667,-1.81459744,0.42048666,-1.81459744
