t,true_x,true_y,true_v,est_x,est_y,est_v,est_err,cte,steer_deg,accel
2.24,14.7117,9.87863,6.63329,15.0613,11.2846,8.04353,1.44878,4.37576,-30.023,-0.0869347
2.26,14.8207,9.95421,6.63155,15.1621,11.41,8.04679,1.49525,4.45219,-30.023,-0.0934348
2.28,14.9318,10.0266,6.62969,15.2665,11.5324,8.04914,1.54256,4.52816,-30.023,-0.0981284
2.3,15.0448,10.0959,6.62772,15.3743,11.652,8.04633,1.59061,4.59453,-30.023,-0.0925241
2.32,15.1598,10.1618,6.62587,15.4855,11.7683,8.05033,1.63918,4.6573,-30.023,-0.100507
2.34,15.2765,10.2245,6.62386,15.6,11.8815,8.05505,1.68832,4.71966,-30.023,-0.109931
2.36,15.3949,10.2838,6.62166,15.7177,11.9915,8.04722,1.73795,4.78159,-30.023,-0.0942977
2.38,15.515,10.3397,6.61978,15.8384,12.098,8.0396,1.78777,4.84114,-30.023,-0.0790854
2.4,15.6365,10.3922,6.6182,13.7122,12.6838,6.03132,2.99234,4.88972,-30.023,3
2.42,15.76,10.4414,6.6782,13.7901,12.7759,6.08774,3.05455,4.93813,-30.023,3
2.44,15.886,10.4875,6.7382,13.8713,12.8666,6.15239,3.11752,4.98655,-30.023,3
2.46,16.0144,10.5303,6.7982,13.956,12.9558,6.20621,3.18122,5.03487,-30.023,3
2.48,16.1452,10.5697,6.8582,14.044,13.0434,6.24974,3.24555,5.07033,-30.023,3
2.5,16.2782,10.6056,6.9182,14.1352,13.1289,6.31385,3.31046,5.10567,-30.023,3
2.52,16.4134,10.6378,6.9782,14.2298,13.2125,6.37583,3.37593,5.14086,-30.023,3
2.54,16.5506,10.6662,7.0382,14.3279,13.294,6.4319,3.4418,5.17181,-30.023,3
2.56,16.6898,10.6906,7.0982,14.4292,13.3732,6.48428,3.50808,5.19322,-30.023,3
2.58,16.8309,10.711,7.1582,14.5338,13.4499,6.54346,3.57467,5.21435,-30.023,2.90887
2.6,16.9738,10.7271,7.21637,16.1504,11.5515,6.79869,1.16511,5.23516,-29.6163,2.39925
2.62,17.1181,10.739,7.26436,16.2829,11.582,6.84315,1.18664,5.2424,-29.6163,2.31036
2.64,17.2636,10.7465,7.31057,16.4171,11.6086,6.89254,1.20822,5.24875,-29.6163,2.21172
2.66,17.4102,10.7496,7.3548,16.5531,11.6313,6.92331,1.22968,5.2547,-28.2497,2.15027
2.68,17.5578,10.7482,7.39781,16.6903,11.6498,6.95971,1.25115,5.24785,-28.2497,2.07757
2.7,17.706,10.7424,7.43936,16.8288,11.6644,7.00431,1.27262,5.23928,-28.2497,1.9885
2.72,17.8548,10.7322,7.47913,16.9684,11.6749,7.05319,1.29396,5.23047,-28.2497,1.89089
2.74,18.0041,10.7175,7.51694,17.1094,11.6813,7.07892,1.3151,5.20957,-27.3504,1.83949
2.76,18.1536,10.6983,7.55373,17.2509,11.6836,7.09947,1.33621,5.18609,-27.3504,1.79846
2.78,18.3031,10.6747,7.5897,17.3929,11.6817,7.12827,1.35741,5.16246,-27.3504,1.74094
2.8,18.4527,10.6467,7.62452,19.0393,11.773,8.82471,1.26993,5.13125,-30.023,-1.64617
2.82,18.6013,10.614,7.5916,19.2141,11.7484,8.79889,1.28934,5.09279,-30.023,-1.59546
2.84,18.7481,10.5767,7.55969,19.3874,11.7182,8.77093,1.30839,5.05395,-30.023,-1.53963
2.86,18.893,10.5348,7.5289,19.5592,11.6826,8.74301,1.32708,5.01478,-30.023,-1.48387
2.88,19.036,10.4884,7.49922,19.7292,11.6415,8.71897,1.34543,4.96311,-30.023,-1.43585
2.9,19.1768,10.4377,7.4705,19.8973,11.5953,8.68978,1.36344,4.90902,-30.023,-1.37756
2.92,19.3155,10.3827,7.44295,20.0633,11.5438,8.65807,1.38101,4.85463,-30.023,-1.31424
2.94,19.4518,10.3236,7.41667,20.2269,11.4872,8.63123,1.39817,4.79998,-30.023,-1.30491
2.96,19.5856,10.2604,7.39057,20.3882,11.4256,8.59387,1.41494,4.73516,-30.023,-1.23031
2.98,19.717,10.1932,7.36596,20.5468,11.3593,8.57396,1.43127,4.66589,-30.023,-1.19054
3,19.8458,10.1221,7.34215,19.9753,9.75942,7.45352,0.385102,4.59637,-30.023,1.04654
3.02,19.9722,10.047,7.36308,20.0941,9.66936,7.47412,0.396827,4.52644,-30.023,1.00597
3.04,20.0966,9.96775,7.3832,20.2104,9.57536,7.49371,0.408552,4.45593,-30.023,0.966847
3.06,20.2187,9.88439,7.40254,20.3239,9.4775,7.51536,0.420269,4.37076,-30.023,0.923602
3.08,20.3384,9.79698,7.42101,20.4346,9.37581,7.53273,0.432012,4.28473,-30.023,0.88891
3.1,20.4555,9.70559,7.43879,20.5422,9.27041,7.54598,0.443723,4.19807,-30.023,0.862448
3.12,20.57,9.61029,7.45604,20.6466,9.16144,7.56399,0.455339,4.11082,-30.023,0.826479
3.14,20.6816,9.51116,7.47257,20.7477,9.04893,7.57647,0.466939,4.02307,-30.023,0.516496
3.16,20.7902,9.40833,7.4829,20.8454,8.93306,7.5911,0.478471,3.92444,-30.023,0.487191
3.18,20.8956,9.30194,7.49264,20.9394,8.81387,7.60611,0.490031,3.82101,-30.023,0.457226
3.2,20.9976,9.19208,7.50179,21.5805,8.18896,8.3852,1.16017,3.71704,-28.5076,-1.89562
3.22,21.096,9.07931,7.46387,21.668,8.04585,8.35021,1.18116,3.61304,-28.5076,-1.82636
3.24,21.1905,8.96422,7.42735,21.7507,7.9008,8.3097,1.20196,3.50952,-20.2354,-3.23214
3.26,21.2815,8.8476,7.3627,21.8287,7.75406,8.24618,1.22284,3.4041,-20.2354,-3.10568
3.28,21.3693,8.73018,7.30059,21.9031,7.60687,8.18444,1.24371,3.28882,-20.2354,-2.98237
3.3,21.454,8.61202,7.24094,21.9741,7.45934,8.12178,1.26455,3.17519,30.023,-2.85723
3.32,21.5388,8.49528,7.1838,22.0415,7.31158,8.06516,1.28605,3.06565,30.023,-2.74416
3.34,21.6263,8.38209,7.12891,22.113,7.167,8.01096,1.30894,2.96297,30.023,-4.54022
3.36,21.7164,8.27274,7.03811,22.1884,7.02562,7.91718,1.33346,2.86742,30.023,-4.35345
3.38,21.8086,8.16749,6.95104,22.2671,6.88822,7.82426,1.35898,2.76245,30.023,-4.16788
3.4,21.9026,8.06628,6.86768,20.9064,6.88283,6.08099,1.54694,2.66482,30.023,-0.687222
3.42,21.999,7.96858,6.85394,20.9646,6.77601,6.06553,1.57868,2.57463,30.023,-0.655488
3.44,22.0979,7.87393,6.84083,21.0257,6.67123,6.0518,1.61127,2.49212,30.023,-0.628056
3.46,22.1995,7.7824,6.82827,21.0897,6.5685,6.04544,1.64471,2.39907,30.023,-0.615356
3.48,22.3034,7.69402,6.81596,21.1566,6.46779,6.02839,1.67893,2.31035,30.023,-0.581325
3.5,22.4097,7.60887,6.80433,21.2262,6.36937,6.02104,1.71375,2.22983,30.023,-0.56663
3.52,22.5183,7.52699,6.793,21.2986,6.27312,6.00525,1.7492,2.14701,30.023,-0.535095
3.54,22.629,7.44843,6.7823,21.3736,6.1793,5.98781,1.78509,2.05909,30.023,-0.500282
3.56,22.7417,7.37323,6.77229,21.4511,6.08797,5.9828,1.82145,1.97992,30.023,-0.490252
3.58,22.8565,7.30143,6.76249,21.5311,5.999,5.96631,1.8582,1.89408,30.023,-0.457339
3.6,22.973,7.23308,6.75334,21.565,6.39533,5.52012,1.63846,1.80606,30.023,0.433538
3.62,23.0916,7.16813,6.76201,21.6471,6.3216,5.53111,1.67422,1.7253,30.023,0.411821
3.64,23.2121,7.10657,6.77025,21.7316,6.25016,5.54051,1.71034,1.62668,30.023,0.393032
3.66,23.3345,7.04845,6.77811,21.8182,6.18108,5.55128,1.74678,1.53655,30.023,0.371536
3.68,23.4586,6.99385,6.78554,21.907,6.11441,5.55566,1.7835,1.44816,30.023,0.362773
3.7,23.5844,6.94282,6.7928,21.9978,6.05029,5.55747,1.82048,1.34421,30.023,0.359166
3.72,23.7118,6.89542,6.79998,22.0904,5.98882,5.55968,1.8577,1.24918,30.023,0.354753
3.74,23.8407,6.8517,6.80708,22.1848,5.93007,5.57374,1.8951,1.16542,30.023,0.326679
3.76,23.9709,6.81171,6.81361,22.2811,5.87392,5.57142,1.93258,1.06587,30.023,0.331309
3.78,24.1023,6.7755,6.82023,22.3789,5.82062,5.58743,1.97024,0.961033,30.023,0.299341
