t,true_x,true_y,kf_x,kf_y,ekf_x,ekf_y,gps_x,gps_y,gps_valid
6.08,4.03019,-4.44886,10.5268,-3.69703,5.32026,-4.77339,0,0,0
6.1,3.94337,-4.39924,10.5447,-3.73319,5.30484,-4.7784,0,0,0
6.12,3.85708,-4.34871,10.5626,-3.76935,5.28941,-4.78322,0,0,0
6.14,3.77131,-4.29729,10.5806,-3.80551,5.27396,-4.78787,0,0,0
6.16,3.68607,-4.245,10.5985,-3.84166,5.25839,-4.79238,0,0,0
6.18,3.60136,-4.19186,10.6164,-3.87782,5.24285,-4.79672,0,0,0
6.2,3.51717,-4.13789,9.94489,-3.84686,5.43964,-4.34378,5.50403,-3.41453,1
6.22,3.4335,-4.08313,9.95837,-3.88259,5.43535,-4.34454,0,0,0
6.24,3.35035,-4.02758,9.97185,-3.91831,5.43114,-4.34524,0,0,0
6.26,3.2677,-3.97128,9.98533,-3.95404,5.42684,-4.34592,0,0,0
6.28,3.18556,-3.91424,9.99881,-3.98977,5.42262,-4.34655,0,0,0
6.3,3.10393,-3.85649,10.0123,-4.02549,5.41841,-4.34713,0,0,0
6.32,3.02278,-3.79805,10.0258,-4.06122,5.41417,-4.34769,0,0,0
6.34,2.94213,-3.73893,10.0392,-4.09695,5.40993,-4.3482,0,0,0
6.36,2.86197,-3.67915,10.0527,-4.13267,5.40571,-4.34868,0,0,0
6.38,2.78228,-3.61873,10.0662,-4.1684,5.40138,-4.34914,0,0,0
6.4,2.70307,-3.55769,9.03467,-3.65508,4.20125,-3.49337,2.19846,-0.0633883,1
6.42,2.62433,-3.49606,9.04143,-3.68728,4.16789,-3.48706,0,0,0
6.44,2.54604,-3.43383,9.0482,-3.71948,4.13457,-3.4805,0,0,0
6.46,2.46821,-3.37105,9.05496,-3.75168,4.10135,-3.47371,0,0,0
6.48,2.39082,-3.30772,9.06173,-3.78387,4.06814,-3.46669,0,0,0
6.5,2.31387,-3.24386,9.06849,-3.81607,4.03518,-3.45949,0,0,0
6.52,2.23734,-3.17949,9.07526,-3.84827,4.00252,-3.45213,0,0,0
6.54,2.16123,-3.11462,9.08202,-3.88047,3.96997,-3.44455,0,0,0
6.56,2.08554,-3.04927,9.08879,-3.91267,3.93729,-3.43673,0,0,0
6.58,2.01025,-2.98346,9.09555,-3.94487,3.90468,-3.42871,0,0,0
