t,x,y,v,theta,cte,steer_deg,accel
3.58,19.8325,1.50392,7.89023,-0.589849,4.02477,22.8077,0.219232
3.6,19.9647,1.41774,7.89461,-0.565264,4.10442,21.8992,0.16621
3.62,20.0991,1.33472,7.89793,-0.541752,4.18094,-30.023,0.15956
3.64,20.233,1.25098,7.90113,-0.575567,4.26266,-30.023,0.153187
3.66,20.3641,1.16273,7.90419,-0.609395,4.3375,-30.023,-0.138003
3.68,20.4922,1.07008,7.90143,-0.643224,4.42091,-30.023,-0.132565
3.7,20.617,0.973199,7.89878,-0.677041,4.51263,24.7937,-0.12727
3.72,20.7414,0.87592,7.89623,-0.650019,4.5955,30.023,-0.919503
3.74,20.8686,0.782593,7.87784,-0.616257,4.67631,30.023,-0.882985
3.76,20.9985,0.693809,7.86018,-0.582573,4.75629,30.023,-0.847717
3.78,21.1311,0.609633,7.84323,-0.548962,4.83541,30.023,-0.813857
3.8,21.2661,0.530123,7.82695,-0.515423,4.89987,30.023,-2.26804
3.82,21.4032,0.45547,7.78159,-0.482016,4.96257,30.023,-2.17784
3.84,21.5418,0.385823,7.73803,-0.448799,5.02426,30.023,-2.09085
3.86,21.682,0.321165,7.69622,-0.415765,5.08493,30.023,-2.00734
3.88,21.8234,0.261477,7.65607,-0.382906,5.14116,30.023,-3.83147
3.9,21.9656,0.206869,7.57944,-0.350297,5.18557,30.023,-3.67893
3.92,22.1081,0.157396,7.50586,-0.31801,5.22889,30.023,-3.53199
3.94,22.2508,0.112955,7.43522,-0.286031,5.27114,30.023,-3.39091
3.96,22.3934,0.0734466,7.3674,-0.254349,5.31232,30.023,-3.25547
3.98,22.536,0.0387701,7.30229,-0.222951,5.35244,30.023,-3.12544
4,22.6783,0.00882833,7.23979,-0.191827,5.38512,30.023,-4.80945
4.02,22.8199,-0.0164164,7.1436,-0.161042,5.41014,30.023,-4.61782
4.04,22.9603,-0.0370456,7.05124,-0.13066,5.43419,30.023,-4.43337
4.06,23.0995,-0.0532177,6.96257,-0.100666,5.4573,30.023,-4.2563
4.08,23.2374,-0.0650851,6.87745,-0.0710443,5.47949,30.023,-4.08629
4.1,23.3739,-0.072794,6.79572,-0.0417794,5.50079,30.023,-3.92307
4.12,23.509,-0.076485,6.71726,-0.0128574,5.52121,30.023,-3.76638
4.14,23.6426,-0.0762927,6.64193,0.0157355,5.53817,30.023,-4.80246
4.16,23.7744,-0.0723571,6.54588,0.0439616,5.54528,30.023,-4.61095
4.18,23.9041,-0.0648383,6.45366,0.0717848,5.55171,30.023,-4.42677
4.2,24.0319,-0.0538915,6.36513,0.099221,5.55749,30.023,-4.24996
4.22,24.1575,-0.0396642,6.28013,0.126286,5.56264,30.023,-4.08021
4.24,24.2811,-0.0222961,6.19852,0.152994,5.56718,30.023,-3.91723
4.26,24.4026,-0.00191989,6.12018,0.17936,5.57114,30.023,-3.76077
4.28,24.522,0.0213385,6.04496,0.205397,5.57453,30.023,-3.61056
4.3,24.6393,0.0473597,5.97275,0.231119,5.57738,30.023,-3.46634
4.32,24.7545,0.0760303,5.90343,0.256538,5.5797,30.023,-3.32789
4.34,24.8677,0.107243,5.83687,0.281666,5.57316,30.023,-3.62621
4.36,24.9787,0.140869,5.76434,0.306496,5.56437,30.023,-3.48148
4.38,25.0875,0.17678,5.69472,0.331022,5.55522,30.023,-3.34243
4.4,25.1942,0.214873,5.62787,0.355256,5.54575,30.023,-3.20892
4.42,25.2986,0.255054,5.56369,0.379209,5.53594,30.023,-3.08075
