t,p6_x,p6_y,p6_v,p6_cte,p6_he,p6_ve,p6_steer_deg,p6_accel,p6_v_ref,p4_x,p4_y,p4_v,p4_cte,p4_he,p4_steer_deg
1.84,10.8792,10.1395,8,0.00118851,-0.0042526,0,-2.7135,-0,8,10.8752,10.144,8,0.00714436,-0.00345426,-2.71529
1.86,11.0049,10.2385,8,0.000350671,-0.000529859,0,-4.91857,-0,8,11.0008,10.243,8,0.00644132,0.000405546,-4.78699
1.88,11.1311,10.337,8,0.000741027,-0.00368981,0,-3.05236,-0,8,11.1269,10.3416,8,0.00698195,-0.00274683,-3.04505
1.9,11.2574,10.4351,8,0.00073125,-0.00553153,0,-1.78013,-0,8,11.2532,10.4399,8,0.00711784,-0.00465364,-1.843
1.92,11.3841,10.5328,8,7.88171e-05,-0.00108016,0,-4.64944,-0,8,11.3798,10.5377,8,0.00660981,-9.48712e-05,-4.54627
1.94,11.5112,10.63,8,0.000432457,-0.00406012,0,-2.87881,-0,8,11.5067,10.635,8,0.00712009,-0.00308741,-2.89093
1.96,11.6385,10.7269,8,0.000409267,-0.00579055,0,-1.67261,-0,8,11.634,10.7321,8,0.00724625,-0.00489642,-1.74852
1.98,11.7662,10.8234,8,0.000147353,-0.00120247,0,-4.96548,-0,8,11.7615,10.8287,8,0.00713079,-0.000196624,-4.85826
2,11.8942,10.9194,8,0.000504433,-0.00437481,0,-3.06431,-0,8,11.8895,10.9247,8,0.00764786,-0.00338075,-3.07567
2.02,12.0225,11.015,8,0.00046109,-0.00620775,0,-1.77164,-0,8,12.0176,11.0205,8,0.00775719,-0.0052934,-1.84863
2.04,12.1511,11.1101,8,0.000653167,-0.00163003,0,-5.43995,-0,8,12.1462,11.1158,8,0.00809889,-0.000591811,-5.32123
2.06,12.2802,11.2047,8,0.000960781,-0.00506492,0,-3.31737,-0,8,12.2752,11.2105,8,0.00857201,-0.00403427,-3.32466
2.08,12.4097,11.2986,8,0.000196082,-0.000691941,0,-6.11824,-0,8,12.4046,11.3045,8,0.00797816,0.000510527,-5.95396
2.1,12.5397,11.3919,8,0.0006568,-0.00460894,0,-3.78171,-0,8,12.5345,11.398,8,0.0086318,-0.00339984,-3.77533
2.12,12.67,11.4848,8,0.000622502,-0.00687966,0,-2.19441,-0,8,12.6647,11.491,8,0.00878414,-0.00575581,-2.27671
