t,kf_err,ekf_err,kf_P_trace,ekf_P_trace
11.2,3.75732,1.42941,2.67217,35.9942
11.22,3.89279,1.39314,2.70404,37.3873
11.24,4.02912,1.35684,2.7363,38.8059
11.26,4.16628,1.32055,2.76894,40.2507
11.28,4.30424,1.2844,2.80198,41.7226
11.3,4.44298,1.24849,2.83541,43.2223
11.32,4.58248,1.21271,2.86923,44.7502
11.34,4.72271,1.17721,2.90346,46.3073
11.36,4.86365,1.142,2.93808,47.8939
11.38,5.00526,1.10701,2.97311,49.5104
11.4,5.38193,3.11721,2.67203,35.2111
11.42,5.52871,3.26031,2.7039,36.446
11.44,5.67607,3.40554,2.73616,37.7053
11.46,5.824,3.55259,2.76881,38.9896
11.48,5.97247,3.70113,2.80185,40.2998
11.5,6.12146,3.85085,2.83528,41.6367
11.52,6.27093,4.00159,2.86911,43.0008
11.54,6.42087,4.15305,2.90334,44.393
11.56,6.57125,4.30502,2.93796,45.8141
11.58,6.72204,4.45741,2.97299,47.2646
11.6,6.03345,2.49121,2.67192,33.8523
11.62,6.17968,2.57268,2.70379,35.1528
