time,euler_pos,rk4_pos,exact_pos,euler_energy,rk4_energy
23.00000000,13.78253473,-0.43158875,-0.43217794,16546.19104229,1.99959320
23.10000000,-4.19871913,-0.60217468,-0.60272085,17208.03868398,1.99959143
23.20000000,-22.73127437,-0.74875430,-0.74923517,17896.36023134,1.99958966
23.30000000,-41.09588085,-0.86548411,-0.86587985,18612.21464059,1.99958789
23.40000000,-58.55123636,-0.94771062,-0.94800464,19356.70322621,1.99958612
23.50000000,-74.36275663,-0.99215583,-0.99233547,20130.97135526,1.99958435
23.60000000,-87.83222745,-0.99704793,-0.99710502,20936.21020947,1.99958259
23.70000000,-98.32718801,-0.96219194,-0.96212313,21773.65861785,1.99958082
23.80000000,-105.30885946,-0.88897743,-0.88878444,22644.60496257,1.99957905
23.90000000,-108.35744340,-0.78032322,-0.78001271,23550.38916107,1.99957728
24.00000000,-107.19367295,-0.64056090,-0.64014434,24492.40472751,1.99957551
24.10000000,-101.69560477,-0.47526225,-0.47475543,25472.10091661,1.99957374
24.20000000,-91.90978968,-0.29101704,-0.29043952,26490.98495328,1.99957197
24.30000000,-78.05615039,-0.09517037,-0.09454471,27550.62435141,1.99957021
24.40000000,-60.52611951,0.10447017,0.10511930,28652.64932546,1.99956844
24.50000000,-39.87384262,0.29994574,0.30059254,29798.75529848,1.99956667
24.60000000,-16.80052095,0.48346357,0.48408211,30990.70551042,1.99956490
24.70000000,7.86775443,0.64770759,0.64827284,32230.33373084,1.99956313
24.80000000,33.20805064,0.78613009,0.78661899,33519.54708007,1.99956136
24.90000000,58.23363668,0.89321277,0.89360512,34860.32896327,1.99955959
25.00000000,81.93090069,0.96468674,0.96496603,36254.74212181,1.99955783
25.10000000,103.29881923,0.99770265,0.99785679,37704.93180668,1.99955606
25.20000000,121.38950175,0.99094433,0.99096615,39213.12907895,1.99955429
25.30000000,135.34823150,0.94468126,0.94456882,40781.65424210,1.99955252
25.40000000,144.45138118,0.86075776,0.86051451,42412.92041179,1.99955075
25.50000000,148.14060159,0.74251956,0.74215420,44109.43722826,1.99954898
25.60000000,146.05176676,0.59468033,0.59420654,45873.81471739,1.99954722
25.70000000,138.03730787,0.42313385,0.42256975,47708.76730608,1.99954545
25.80000000,124.18077831,0.23471895,0.23408643,49617.11799833,1.99954368
25.90000000,104.80275643,0.03694696,0.03627083,51601.80271826,1.99954191
26.00000000,80.45750342,-0.16229777,-0.16299078,53665.87482699,1.99954014
26.10000000,51.92014015,-0.35507219,-0.35575446,55812.50982007,1.99953837
26.20000000,20.16447674,-0.53369122,-0.53433533,58045.01021287,1.99953660
26.30000000,-13.66799227,-0.69103407,-0.69161394,60366.81062139,1.99953484
26.40000000,-48.30704035,-0.82082816,-0.82132008,62781.48304624,1.99953307
26.50000000,-82.39936874,-0.91789919,-0.91828279,65292.74236809,1.99953130
26.60000000,-114.55941551,-0.97837736,-0.97863645,67904.45206282,1.99952953
26.70000000,-143.42348754,-0.99985170,-0.99997497,70620.63014533,1.99952776
26.80000000,-167.70518295,-0.98146615,-0.98144764,73445.45535114,1.99952599
26.90000000,-186.24993885,-0.92395369,-0.92379310,76383.27356519,1.99952423
27.00000000,-198.08648744,-0.82960716,-0.82930983,79438.60450780,1.99952246
27.10000000,-202.47303847,-0.70218777,-0.70176460,82616.14868811,1.99952069
27.20000000,-198.93613000,-0.54677522,-0.54624223,85920.79463563,1.99951892
27.30000000,-187.30030000,-0.36956520,-0.36894291,89357.62642106,1.99951715
27.40000000,-167.70702480,-0.17762232,-0.17693500,92931.93147790,1.99951538
27.50000000,-140.62173759,0.02140144,0.02212676,96649.20873702,1.99951361
27.60000000,-106.82816940,0.21957184,0.22030639,100515.17708650,1.99951185
27.70000000,-67.40973170,0.40898866,0.40970309,104535.78416996,1.99951008
27.80000000,-23.71816722,0.58210066,0.58276623,108717.21553676,1.99950831
27.90000000,22.66978652,0.73200661,0.73259632,113065.90415823,1.99950654
28.00000000,70.00646695,0.85273041,0.85322011,117588.54032456,1.99950477
28.10000000,116.43635593,0.93945934,0.93982870,122292.08193754,1.99950300
28.20000000,160.06598622,0.98873591,0.98896929,127183.76521504,1.99950124
28.30000000,199.03816227,0.99859570,0.99868279,132271.11582364,1.99949947
28.40000000,231.60769888,0.96864569,0.96858196,137561.96045659,1.99949770
28.50000000,256.21570900,0.90007989,0.89986683,143064.43887485,1.99949593
28.60000000,271.55941116,0.79563176,0.79527684,148787.01642984,1.99949416
28.70000000,276.65448496,0.65946524,0.65898168,154738.49708704,1.99949239
