t,x,y,v,steer_deg,accel
3.8,23.5269,14.5993,5.16415,-15.9904,-1.4171
3.82,23.6233,14.563,5.1358,-32.1728,-1.32092
3.84,23.7185,14.5253,5.10939,-23.5238,-1.23998
3.86,23.8126,14.4861,5.08459,-16.497,-1.164
3.88,23.9057,14.4457,5.06131,-32.2076,-1.03405
3.9,23.9977,14.4039,5.04062,-23.6789,-0.970684
3.92,24.0885,14.3607,5.02121,-16.6958,-0.911203
3.94,24.1784,14.3163,5.00299,-31.8202,-0.748459
3.96,24.2673,14.2706,4.98802,-23.3739,-0.702595
3.98,24.355,14.2234,4.97397,-16.5749,-0.659542
4,24.4418,14.1752,4.96078,-31.0365,-0.465153
4.02,24.5277,14.1257,4.95147,-22.6458,-0.43665
4.04,24.6125,14.0747,4.94274,-16.1618,-0.409893
4.06,24.6965,14.0228,4.93454,-29.9115,-0.185181
4.08,24.7796,13.9695,4.93084,-21.6053,-0.173833
4.1,24.8616,13.9149,4.92736,-15.5344,-0.163181
4.12,24.9429,13.8593,4.9241,-10.905,-0.153182
4.14,25.0237,13.803,4.92103,-27.1731,0.0997666
4.16,25.1037,13.7457,4.92303,-19.6798,0.0936532
4.18,25.1829,13.6871,4.9249,-14.0947,0.0879144
4.2,25.2614,13.6276,4.92666,-28.4726,0.368208
4.22,25.3391,13.5669,4.93402,-20.621,0.345646
4.24,25.4159,13.5048,4.94094,-14.8092,0.324465
4.26,25.4921,13.4418,4.94743,-27.7964,0.63036
4.28,25.5675,13.3775,4.96003,-20.1833,0.591733
4.3,25.642,13.3118,4.97187,-14.5191,0.555473
4.32,25.7159,13.2452,4.98298,-26.3652,0.885128
4.34,25.7891,13.1773,5.00068,-19.2401,0.83089
4.36,25.8615,13.108,5.0173,-13.888,0.779975
4.38,25.9333,13.0377,5.0329,-9.75949,0.732181
4.4,26.0048,12.9667,5.04754,-23.4826,1.08661
4.42,26.0758,12.8945,5.06927,-17.0717,1.02002
4.44,26.146,12.8211,5.08967,-12.2009,0.957517
4.46,26.2158,12.7467,5.10882,-24.083,1.33129
4.48,26.2849,12.6711,5.13545,-17.4955,1.24971
4.5,26.3533,12.5942,5.16044,-12.5132,1.17314
4.52,26.4212,12.5161,5.18391,-23.0858,1.56431
4.54,26.4884,12.4368,5.21519,-16.7827,1.46845
4.56,26.555,12.3561,5.24456,-12.0006,1.37847
4.58,26.6211,12.2743,5.27213,-8.31341,1.294
4.6,26.6869,12.1916,5.29801,-20.5209,1.70575
4.62,26.7523,12.1078,5.33213,-14.7641,1.60123
4.64,26.817,12.0226,5.36415,-10.3815,1.50311
4.66,26.8813,11.9364,5.39421,-20.9046,1.92731
4.68,26.945,11.8489,5.43276,-14.9857,1.80921
4.7,27.0081,11.7599,5.46894,-10.505,1.69835
4.72,27.0707,11.6698,5.50291,-19.8891,2.13306
4.74,27.1327,11.5784,5.54557,-14.216,2.00236
4.76,27.194,11.4855,5.58562,-9.9217,1.87966
4.78,27.255,11.3914,5.62321,-18.4678,2.3229
4.8,27.3153,11.296,5.66967,-13.1888,2.18056
4.82,27.375,11.1991,5.71328,-9.18575,2.04694
4.84,27.4344,11.1009,5.75422,-6.13805,1.92151
4.86,27.4935,11.0018,5.79265,-16.3907,2.37894
4.88,27.5523,10.9013,5.84023,-11.5167,2.23317
4.9,27.6104,10.7995,5.88489,-7.83903,2.09632
4.92,27.6682,10.6965,5.92682,-16.7629,2.55684
4.94,27.7254,10.5921,5.97796,-11.7005,2.40017
4.96,27.7819,10.4862,6.02596,-7.91032,2.25309
4.98,27.8381,10.3791,6.07102,-16.0033,2.71483
5,27.8936,10.2705,6.12532,-11.0829,2.54847
5.02,27.9484,10.1604,6.17629,-7.41727,2.39231
5.04,28.0029,10.0489,6.22413,-14.9482,2.85333
5.06,28.0568,9.93609,6.2812,-10.2833,2.67848
5.08,28.1099,9.82168,6.33477,-6.8217,2.51435
5.1,28.1627,9.70595,6.38506,-13.9366,2.97266
5.12,28.2149,9.58877,6.44451,-9.53617,2.7905
5.14,28.2664,9.47001,6.50032,-6.28362,2.61951
5.16,28.3176,9.34992,6.55271,-13.0705,3.05563
5.18,28.3682,9.22836,6.61271,-8.901,2.87179
5.2,28.418,9.10524,6.67015,-5.83323,2.69582
5.22,28.4675,8.98078,6.72406,-12.355,3.06902
5.24,28.5164,8.85485,6.78406,-8.37032,2.88519
5.26,28.5645,8.72739,6.84177,-5.45455,2.7084
5.28,28.6123,8.59858,6.89593,-11.7644,2.95863
5.3,28.6594,8.46833,6.95511,-7.91896,2.77733
5.32,28.7058,8.33659,7.01065,-5.1238,2.60715
5.34,28.7517,8.20356,7.0628,-11.2713,2.70893
5.36,28.7969,8.06918,7.11698,-7.52648,2.54293
5.38,28.8413,7.93341,7.16783,-4.82621,2.38711
5.4,28.8853,7.79644,7.21558,-10.8552,2.36106
5.42,28.9285,7.65825,7.2628,-7.18088,2.21638
5.44,28.9707,7.51882,7.30713,-4.55447,2.08057
5.46,29.0125,7.37833,7.34874,-10.4996,1.99046
5.48,29.0534,7.23677,7.38855,-6.87349,1.86849
5.5,29.0934,7.09412,7.42592,-4.30442,1.754
5.52,29.1328,6.95056,7.461,-10.1901,1.65143
5.54,29.1714,6.80607,7.49402,-6.59666,1.55024
5.56,29.2089,6.66064,7.52503,-4.07272,1.45524
5.58,29.2458,6.51445,7.55413,-9.91483,1.36607
5.6,29.2819,6.36745,7.58146,-6.34429,1.28236
5.62,29.3169,6.21965,7.6071,-3.85701,1.20378
5.64,29.3513,6.07119,7.63118,-9.6657,1.13002
5.66,29.3847,5.92205,7.65378,-6.11256,1.06077
5.68,29.4171,5.77222,7.67499,-3.65637,0.995772
5.7,29.4489,5.62184,7.69491,-9.43842,0.934754
5.72,29.4797,5.47087,7.7136,-5.8999,0.877475
5.74,29.5094,5.31931,7.73115,-3.47112,0.823706
5.76,29.5385,5.16729,7.74763,-9.23112,0.773232
5.78,29.5667,5.01476,7.76309,-5.70598,0.72585
5.8,29.5938,4.86173,7.77761,-3.30194,0.681372
5.82,29.6202,4.7083,7.79124,-9.0432,0.639619
5.84,29.6457,4.55445,7.80403,-5.53082,0.600425
5.86,29.6701,4.40017,7.81604,-9.2645,0.563633
5.88,29.6934,4.24548,7.82731,-5.79198,0.529095
5.9,29.7155,4.0904,7.83789,-3.41855,0.496674
5.92,29.737,3.93501,7.84783,-7.92,0.466239
5.94,29.7575,3.77931,7.85715,-4.98368,0.437669
5.96,29.7771,3.6233,7.8659,-2.96734,0.41085
5.98,29.796,3.46705,7.87412,-7.68891,0.385674
6,29.8141,3.31053,7.88183,-4.8874,0.362041
6.02,29.8313,3.15376,7.88908,-2.95524,0.339856
6.04,29.8478,2.99677,7.89587,-7.71587,0.319031
6.06,29.8634,2.83957,7.90225,-4.92424,0.299482
6.08,29.8781,2.68214,7.90824,-2.99661,0.28113
6.1,29.8921,2.52454,7.91387,-7.75277,0.263903
6.12,29.9053,2.36676,7.91914,-4.94313,0.247732
6.14,29.9174,2.2088,7.9241,-3.00533,0.232552
6.16,29.9289,2.05069,7.92875,-7.75773,0.218302
6.18,29.9395,1.89242,7.93312,-4.92932,0.204925
6.2,29.9491,1.73401,7.93721,-2.98294,0.192368
6.22,29.9581,1.57548,7.94106,-7.74301,0.18058
6.24,29.9662,1.41683,7.94467,-4.89848,0.169514
6.26,29.9732,1.25806,7.94806,-2.94603,0.159127
6.28,29.9796,1.0992,7.95125,-7.72627,0.149376
6.3,29.9852,0.940238,7.95423,-4.86564,0.140223
6.32,29.9897,0.781189,7.95704,-2.90715,0.13163
6.34,29.9936,0.622069,7.95967,-7.71967,0.123564
6.36,29.9966,0.46288,7.96214,-4.83977,0.115993
6.38,29.9985,0.303626,7.96446,-2.87289,0.108885
6.4,29.9999,0.144321,7.96664,-7.73008,0.102213
6.42,30.0003,-0.0150311,7.96868,-4.82519,0.0959496
6.44,29.9997,-0.174423,7.9706,-2.84588,0.0900701
6.46,29.9985,-0.333848,7.9724,-7.76121,0.0845508
6.48,29.9964,-0.493299,7.97409,-4.82362,0.0793698
6.5,29.9933,-0.652766,7.97568,-2.82663,0.0745062
6.52,29.9896,-0.812251,7.97717,-7.81529,0.0699407
6.54,29.9849,-0.97174,7.97857,-4.83564,0.0656549
6.56,29.9793,-1.13122,7.97988,-2.81476,0.0616318
6.58,29.9729,-1.29071,7.98112,-7.89408,0.0578552
6.6,29.9657,-1.45018,7.98227,-4.86137,0.05431
6.62,29.9575,-1.60962,7.98336,-2.80951,0.050982
6.64,29.9486,-1.76905,7.98438,-7.99925,0.047858
6.66,29.9388,-1.92845,7.98534,-4.90084,0.0449254
6.68,29.928,-2.0878,7.98624,-2.81001,0.0421725
6.7,29.9165,-2.24712,7.98708,-8.13267,0.0395883
6.72,29.9041,-2.40638,7.98787,-4.95411,0.0371624
6.74,29.8906,-2.56558,7.98861,-2.81534,0.0348852
6.76,29.8765,-2.72473,7.98931,-8.29643,0.0327475
6.78,29.8615,-2.88382,7.98997,-5.02132,0.0307409
6.8,29.8453,-3.0428,7.99058,-8.75843,0.0288571
