t,x,y,v,steer_deg,accel
5.88,33.8025,16.3598,5.57315,52.5411,5.68877
5.9,33.8386,16.4659,5.63315,61.4381,5.50494
5.92,33.8725,16.574,5.69315,48.7713,5.88462
5.94,33.904,16.684,5.75315,53.4298,5.70079
5.96,33.9332,16.7959,5.81315,56.9151,5.51696
5.98,33.9598,16.9097,5.87315,59.1794,5.33313
6,33.9838,17.0253,5.93315,44.2744,5.3896
6.02,34.005,17.1427,5.99315,42.225,5.20577
6.04,34.0235,17.2617,6.05315,38.7892,5.02194
6.06,34.039,17.3824,6.11315,33.9205,4.83811
6.08,34.0514,17.5046,6.17315,17.8833,4.97518
6.1,34.0614,17.6283,6.23315,14.6131,4.79135
6.12,34.0699,17.7532,6.29315,11.8765,4.60752
6.14,34.077,17.8795,6.35315,5.71148,4.77814
6.16,34.0833,18.007,6.41315,5.0011,4.59431
6.18,34.0891,18.1357,6.47315,4.30199,4.41048
6.2,34.0944,18.2657,6.53315,3.6415,4.22665
6.22,34.0993,18.3969,6.59315,5.25632,4.25015
6.24,34.1038,18.5293,6.65315,4.21996,4.06632
6.26,34.1078,18.6629,6.71315,3.34433,3.88249
6.28,34.1113,18.7977,6.77315,2.61481,3.69866
6.3,34.1145,18.9337,6.83315,9.56289,3.57505
6.32,34.1171,19.0709,6.89315,7.04426,3.39122
6.34,34.1186,19.2094,6.95315,5.09908,3.20739
6.36,34.1193,19.3491,7.01315,3.61005,3.02356
6.38,34.1195,19.4899,7.07315,11.0892,2.83973
6.4,34.1187,19.6319,7.12995,7.82472,2.66572
6.42,34.1167,19.7751,7.18326,5.39645,2.50237
6.44,34.1138,19.9192,7.23331,3.60539,2.34903
6.46,34.1102,20.0643,7.28029,7.10888,2.02387
6.48,34.1059,20.2102,7.32077,4.49767,1.89986
6.5,34.1007,20.3569,7.35877,2.65871,1.78344
6.52,34.0951,20.5044,7.39443,2.06505,1.02072
6.54,34.089,20.6523,7.41485,0.35556,0.958173
6.56,34.0828,20.8007,7.43401,-0.682531,0.899459
